shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20092,39.797470,-86.149505,260004
20092,39.797559,-86.149264,260005
20092,39.797579,-86.149161,260006
20092,39.797594,-86.148189,260007
20092,39.797594,-86.148189,270001
20092,39.797598,-86.147940,270002
20092,39.797621,-86.146509,270003
20092,39.797621,-86.146509,280001
20092,39.797623,-86.146360,280002
20092,39.797635,-86.145574,280003
20092,39.797641,-86.144823,280004
20092,39.797644,-86.144752,280005
20092,39.797978,-86.144752,280006
20092,39.797978,-86.144752,290001
20092,39.799302,-86.144753,290002
20092,39.799302,-86.144753,300001
20092,39.799412,-86.144753,300002
20092,39.801155,-86.144765,300003
20092,39.801155,-86.144765,310001
20092,39.801237,-86.144766,310002
20092,39.802917,-86.144768,310003
20092,39.802917,-86.144768,320001
20092,39.803063,-86.144768,320002
20092,39.804175,-86.144775,320003
20092,39.804175,-86.144775,330001
20092,39.804246,-86.144776,330002
20092,39.805333,-86.144780,330003
20092,39.805333,-86.144780,340001
20092,39.805426,-86.144781,340002
20092,39.805986,-86.144784,340003
20092,39.806774,-86.144790,340004
20092,39.806774,-86.144790,350001
20092,39.806870,-86.144791,350002
20092,39.807095,-86.144781,350003
20092,39.808001,-86.144784,350004
20092,39.808539,-86.144873,350005
20092,39.808676,-86.144921,350006
20092,39.808848,-86.144630,350007
20092,39.808944,-86.144485,350008
20092,39.809113,-86.144279,350009
20092,39.809259,-86.144138,350010
20092,39.809410,-86.144014,350011
20092,39.809603,-86.143891,350012
20092,39.809782,-86.143807,350013
20092,39.809933,-86.143755,350014
20092,39.810120,-86.143713,350015
20092,39.810309,-86.143697,350016
20092,39.810364,-86.143694,350017
20092,39.810371,-86.143430,350018
20092,39.810620,-86.141627,350019
20092,39.810847,-86.141636,350020
20092,39.810992,-86.141622,350021
20092,39.810992,-86.141622,360001
20092,39.811218,-86.141599,360002
20092,39.813089,-86.141145,360003
20092,39.813089,-86.141145,370001
20092,39.813216,-86.141115,370002
20092,39.814265,-86.140893,370003
20092,39.814265,-86.140893,380001
20092,39.814538,-86.140835,380002
20092,39.814684,-86.140719,380003
20092,39.814816,-86.140581,380004
20092,39.814915,-86.140453,380005
20092,39.815028,-86.140294,380006
20092,39.815200,-86.140014,380007
20092,39.815280,-86.139869,380008
20092,39.815440,-86.139286,380009
20092,39.815440,-86.139286,390001
20092,39.815506,-86.139048,390002
20092,39.815584,-86.138771,390003
20092,39.815876,-86.137710,390004
20092,39.815876,-86.137710,400001
20092,39.815932,-86.137506,400002
20092,39.816374,-86.136025,400003
20092,39.816374,-86.136025,410001
20092,39.816594,-86.135285,410002
20092,39.816938,-86.135127,410003
20092,39.817244,-86.134969,410004
20092,39.817907,-86.134596,410005
20092,39.817907,-86.134596,420001
20092,39.817956,-86.134568,420002
20092,39.817995,-86.134569,420003
20092,39.818017,-86.134579,420004
20092,39.818019,-86.134077,420005
20092,39.818024,-86.132767,420006
20092,39.818024,-86.132767,430001
20092,39.818024,-86.132607,430002
20092,39.818030,-86.131275,430003
20092,39.818030,-86.131275,440001
20092,39.818030,-86.131141,440002
20092,39.818041,-86.129798,440003
20092,39.818041,-86.129798,450001
20092,39.818042,-86.129653,450002
20092,39.818050,-86.128168,450003
20092,39.818052,-86.127915,450004
20092,39.818052,-86.127915,460001
20092,39.818058,-86.126940,460002
20092,39.818063,-86.126406,460003
20092,39.818066,-86.125975,460004
20092,39.818066,-86.125975,470001
20092,39.818068,-86.125712,470002
20092,39.818079,-86.124227,470003
20092,39.818079,-86.124227,480001
20092,39.818080,-86.124053,480002
20092,39.818088,-86.122864,480003
20092,39.818095,-86.121668,480004
20092,39.818097,-86.121168,480005
20092,39.818097,-86.121168,490001
20092,39.818101,-86.120255,490002
20092,39.818101,-86.120255,500001
20092,39.818102,-86.120073,500002
20092,39.818103,-86.118937,500003
20092,39.818103,-86.118361,500004
20092,39.818103,-86.118343,500005
20092,39.818103,-86.118343,510001
20092,39.818108,-86.116890,510002
20092,39.818108,-86.116890,520001
20092,39.818109,-86.116702,520002
20092,39.818118,-86.115185,520003
20092,39.818118,-86.115185,530001
20092,39.818118,-86.115046,530002
20092,39.818122,-86.113391,530003
20092,39.818123,-86.112359,530004
20092,39.818123,-86.112359,540001
20092,39.818124,-86.112184,540002
20092,39.818133,-86.109892,540003
20092,39.818133,-86.109731,540004
20092,39.818133,-86.109731,550001
20092,39.818134,-86.109525,550002
20092,39.818138,-86.108546,550003
20092,39.818138,-86.108546,560001
20092,39.818138,-86.108382,560002
20092,39.818142,-86.107567,560003
20092,39.818144,-86.107036,560004
20092,39.818144,-86.107036,570001
20092,39.818144,-86.107036,570002
20092,39.818146,-86.105712,570003
20092,39.818155,-86.104509,570004
20092,39.818155,-86.104509,580001
20092,39.818157,-86.104288,580002
20092,39.818162,-86.102871,580003
20092,39.818162,-86.102871,590001
20092,39.818163,-86.102668,590002
20092,39.818173,-86.101398,590003
20092,39.818185,-86.100290,590004
20092,39.818185,-86.100290,600001
20092,39.818186,-86.100148,600002
20092,39.818196,-86.099030,600003
20092,39.818204,-86.098069,600004
20092,39.818204,-86.098069,610001
20092,39.818205,-86.097902,610002
20092,39.818229,-86.096670,610003
20092,39.818231,-86.095349,610004
20092,39.818231,-86.095349,620001
20092,39.818232,-86.095182,620002
20092,39.818236,-86.094904,620003
20092,39.818251,-86.093762,620004
20092,39.818257,-86.092697,620005
20092,39.818257,-86.092697,630001
20092,39.818258,-86.092594,630002
20092,39.818277,-86.091120,630003
20092,39.818286,-86.090387,630004
20092,39.818286,-86.090387,640001
