stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10111,10111,"Meridian St & Fall Creek Pkwy N Dr",,  39.804981, -86.156744,,,0,
10112,10112,"Meridian St & Fall Creek Pkwy S Dr",,  39.802357, -86.156782,,,0,
10114,10114,"Meridian St & 23rd St",,  39.799080, -86.157111,,,0,
10116,10116,"Meridian St & Mc Lean Pl",,  39.796010, -86.157421,,,0,
10117,10117,"Meridian St & 20th St",,  39.793432, -86.157413,,,0,
10118,10118,"Meridian St & 19th St",,  39.792114, -86.157414,,,0,
10119,10119,"Meridian St & 18th St",,  39.790851, -86.157370,,,0,
10120,10120,"Meridian St & 16th St",,  39.787766, -86.157380,,,0,
10121,10121,"Meridian St & 14th St",,  39.785860, -86.157459,,,0,
10122,10122,"Meridian St & 13th St",,  39.783922, -86.157545,,,0,
10123,10123,"Meridian St & 11th St",,  39.782486, -86.157584,,,0,
10124,10124,"Meridian St & 10th St",,  39.780882, -86.157644,,,0,
10125,10125,"Meridian St & Saint Clair St",,  39.778131, -86.157735,,,0,
10127,10127,"Meridian St & North St",,  39.775704, -86.157846,,,0,
10128,10128,"Meridian St & Michigan St",,  39.773903, -86.157890,,,0,
10129,10129,"Meridian St & Vermont St",,  39.772475, -86.157919,,,0,
10130,10130,"Meridian St & New York St",,  39.771009, -86.157937,,,0,
10131,10131,"Ohio St & Illinois St",,  39.769946, -86.158680,,,0,
10132,10132,"Capitol Ave & Market St",,  39.768909, -86.161753,,,0,
10133,10133,"Maryland St & Pennsylvania St",,  39.765548, -86.156678,,,0,
10135,10135,"Ohio St & Pennsylvania St",,  39.769895, -86.155890,,,0,
10136,10136,"Ohio St & Meridian St",,  39.769923, -86.157676,,,0,
10137,10137,"Meridian St & Vermont St",,  39.772992, -86.157784,,,0,
10138,10138,"Meridian St & Michigan St",,  39.773889, -86.157779,,,0,
10139,10139,"Meridian St & North St",,  39.775844, -86.157672,,,0,
10141,10141,"Meridian St & Saint Clair St",,  39.777810, -86.157611,,,0,
10142,10142,"Meridian St & 10th St",,  39.780957, -86.157477,,,0,
10143,10143,"Meridian St & 11th St",,  39.782484, -86.157396,,,0,
10144,10144,"Meridian St & 13th St",,  39.784197, -86.157347,,,0,
10145,10145,"Meridian St & 14th St",,  39.785611, -86.157293,,,0,
10146,10146,"Meridian St & 16th St",,  39.787863, -86.157199,,,0,
10147,10147,"Meridian St & 18th St",,  39.790654, -86.157226,,,0,
10149,10149,"Meridian St & 20th St",,  39.793820, -86.157252,,,0,
10150,10150,"Meridian St & 21st St",,  39.795121, -86.157286,,,0,
10151,10151,"Meridian St & 22nd St",,  39.797870, -86.157060,,,0,
10154,10154,"Meridian St & 25th St",,  39.802582, -86.156620,,,0,
10155,10155,"Meridian St & Fall Creek Pkwy N Dr",,  39.804438, -86.156559,,,0,
10156,10156,"Meridian St & 28th St",,  39.806373, -86.156644,,,0,
10157,10157,"Meridian St & 29th St",,  39.808166, -86.156610,,,0,
10158,10158,"Meridian St & 30th St",,  39.810016, -86.156616,,,0,
10159,10159,"Meridian St & 30th St",,  39.812273, -86.156643,,,0,
10160,10160,"Meridian St & 32nd St",,  39.814214, -86.156671,,,0,
10161,10161,"Meridian St & 33rd St",,  39.815584, -86.156684,,,0,
10162,10162,"Meridian St & 34th St",,  39.817722, -86.156717,,,0,
10163,10163,"Meridian St & 35th St",,  39.819550, -86.156726,,,0,
10164,10164,"Meridian St & 36th St",,  39.821024, -86.156733,,,0,
10165,10165,"Meridian St & 37th St",,  39.822095, -86.156737,,,0,
10166,10166,"Meridian St & 37th St",,  39.823561, -86.156780,,,0,
10167,10167,"38th St & Orchard Ave",,  39.825349, -86.128434,,,0,
10169,10169,"38th St & Caroline Ave",,  39.825353, -86.125960,,,0,
10171,10171,"38th St & Hillside  Ave",,  39.825314, -86.123303,,,0,
10172,10172,"38th St & Keystone Ave",,  39.825238, -86.121067,,,0,
10173,10173,"38th St & Temple Ave",,  39.825275, -86.118557,,,0,
10174,10174,"38th St & Rural St",,  39.825271, -86.116937,,,0,
10175,10175,"38th St & Oxford St",,  39.825274, -86.115314,,,0,
10176,10176,"38th St & Parker Ave",,  39.825284, -86.113598,,,0,
10178,10178,"38th St & Lasalle St",,  39.825278, -86.110083,,,0,
10179,10179,"38th St & Adams St",,  39.825281, -86.108485,,,0,
10181,10181,"38th St & Gale St",,  39.825280, -86.105879,,,0,
10182,10182,"38th St & Station St",,  39.825272, -86.104497,,,0,
10183,10183,"38th St & Sherman Dr",,  39.825282, -86.102397,,,0,
10184,10184,"38th St & Chester Ave",,  39.825309, -86.100360,,,0,
10187,10187,"38th St & Forest Manor Ave",,  39.825348, -86.098132,,,0,
10188,10188,"38th St & Gladstone Ave",,  39.825363, -86.096117,,,0,
10189,10189,"38th St & Linwood Ave",,  39.825385, -86.093916,,,0,
10191,10191,"38th St & Arthington Blvd",,  39.825421, -86.090972,,,0,
10193,10193,"38th St & Dequincy St",,  39.825443, -86.087978,,,0,
10195,10195,"38th St & Bancroft St",,  39.825463, -86.085269,,,0,
10196,10196,"38th St & Emerson Ave",,  39.825439, -86.082976,,,0,
10198,10198,"38th St & Butler Ave",,  39.825415, -86.080423,,,0,
10199,10199,"38th St & Hawthorne Ln",,  39.825402, -86.078689,,,0,
10200,10200,"38th St & Irvington Ave",,  39.825402, -86.076944,,,0,
10201,10201,"38th St & Whittier Pl",,  39.825389, -86.075278,,,0,
10202,10202,"38th St & Layman Ave",,  39.825374, -86.073195,,,0,
10205,10205,"38th St & Graham Ave",,  39.825395, -86.069652,,,0,
10206,10206,"38th St & Bolton Ave",,  39.825392, -86.066694,,,0,
10207,10207,"38th St & Arlington Ave",,  39.825441, -86.064241,,,0,
10208,10208,"38th St & Sheridan Ave",,  39.825450, -86.060104,,,0,
10209,10209,"38th St & Elizabeth St",,  39.825647, -86.052005,,,0,
10210,10210,"38th St & Massachusetts Ave",,  39.825657, -86.048947,,,0,
10211,10211,"38th St & Shadeland Ave",,  39.825674, -86.045411,,,0,
10212,10212,"38th St & Whenner Dr",,  39.825666, -86.043634,,,0,
10213,10213,"38th St & Kercheval Dr",,  39.825666, -86.040380,,,0,
10215,10215,"38th St & Richardt St",,  39.825659, -86.036581,,,0,
10216,10216,"38th St - 7900 E",,  39.825651, -86.034744,,,0,
10217,10217,"Franklin Rd & 38th St",,  39.826318, -86.026836,,,0,
10218,10218,"Franklin Rd - Sports Center",,  39.828723, -86.026899,,,0,
10219,10219,"42nd St & Franklin Rd",,  39.832932, -86.026636,,,0,
10220,10220,"42nd St & Arborcrest Dr",,  39.833240, -86.022934,,,0,
10222,10222,"42nd St & Aspen Way",,  39.833278, -86.019605,,,0,
10224,10224,"42nd St & Private Dr-Missionary Christian Church",,  39.833294, -86.016140,,,0,
10226,10226,"42nd St & Biscayne Rd",,  39.833292, -86.012149,,,0,
10227,10227,"42nd St & Post Rd",,  39.833288, -86.010582,,,0,
10228,10228,"42nd St & Torino Ct",,  39.833326, -86.008243,,,0,
10229,10229,"42nd St & Mount Vernon Ct",,  39.833398, -86.005857,,,0,
10230,10230,"42nd St & Cordell St",,  39.833415, -86.003009,,,0,
10231,10231,"42nd St & Baker Dr",,  39.833479, -85.999908,,,0,
10232,10232,"42nd St & Burrwood Dr",,  39.833516, -85.997554,,,0,
10233,10233,"42nd St & Mitthoefer Rd",,  39.833602, -85.991430,,,0,
10234,10234,"Mitthoefer Rd & Ellis Dr",,  39.832468, -85.991218,,,0,
10235,10235,"Mitthoefer Rd & Montery Rd",,  39.830898, -85.991193,,,0,
10236,10236,"Mitthoefer Rd & Catalina Dr",,  39.828540, -85.991171,,,0,
10237,10237,"Mitthoefer Rd & 38th St",,  39.826945, -85.991185,,,0,
10238,10238,"Mitthoefer Rd & 38th St",,  39.825973, -85.991145,,,0,
10239,10239,"Mitthoefer Rd & John Marshall Dr N",,  39.822646, -85.991072,,,0,
10240,10240,"Mitthoefer Rd & Park Davis Dr",,  39.820563, -85.991045,,,0,
10241,10241,"Mitthoefer Rd & Conveyor Dr",,  39.815380, -85.991017,,,0,
10242,10242,"38th St & Franklin Rd",,  39.825767, -86.025904,,,0,
10243,10243,"38th St & Harvest Ave",,  39.825835, -86.022586,,,0,
10244,10244,"38th St & Alsace Dr",,  39.825849, -86.020567,,,0,
10246,10246,"38th St & Dubarry Rd",,  39.825889, -86.016519,,,0,
10247,10247,"38th St & Shopping Center Dr-Northeastwood",,  39.825906, -86.012589,,,0,
10248,10248,"38th St & Post Rd",,  39.825945, -86.009527,,,0,
